# assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date
GCF_015227675.2,PRJNA677964,SAMN16261960,JACYVU000000000.1,representative genome,10116,10116,Rattus norvegicus,strain=BN/NHsdMcwi,,latest,Chromosome,Minor,Full,10/11/2020,mRatBN7.2,Wellcome Sanger Institute,GCA_015227675.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/227/675/GCF_015227675.2_mRatBN7.2,,,na
GCF_011064425.1,PRJNA612505,SAMN12855339,JAAIVD000000000.1,representative genome,10117,10117,Rattus rattus,,New Zealand,latest,Chromosome,Major,Full,04/03/2020,Rrattus_CSIRO_v1,CSIRO,GCA_011064425.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/064/425/GCF_011064425.1_Rrattus_CSIRO_v1,,,na
GCF_000151735.1,PRJNA73553,SAMN02981223,AAKN00000000.2,representative genome,10141,10141,Cavia porcellus,strain=inbred line 2N,,latest,Scaffold,Major,Full,03/03/2008,Cavpor3.0,"The Genome Sequencing Platform, The Genome Assembly Team",GCA_000151735.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/735/GCF_000151735.1_Cavpor3.0,,,na
GCF_000260255.1,PRJNA193441,SAMN00769067,AJSA00000000.1,representative genome,10160,10160,Octodon degus,,3935,latest,Scaffold,Major,Full,01/05/2012,OctDeg1.0,Broad Institute,GCA_000260255.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/260/255/GCF_000260255.1_OctDeg1.0,,,na
GCF_000247695.1,PRJNA197330,SAMN00714537,AHKG00000000.1,representative genome,10181,10181,Heterocephalus glaber,,NMR 29,latest,Scaffold,Major,Full,17/02/2012,HetGla_female_1.0,Broad Institute,GCA_000247695.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/695/GCF_000247695.1_HetGla_female_1.0,,,na
GCF_000002295.2,PRJNA15683,SAMN02953611,AAFR00000000.3,representative genome,13616,13616,Monodelphis domestica,,,latest,Chromosome,Major,Full,25/01/2007,MonDom5,"The Genome Sequencing Platform, The Genome Assembly Team",na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/295/GCF_000002295.2_MonDom5,,,na
GCF_014108415.1,PRJNA665629,SAMN14734448,JACASF000000000.1,representative genome,27622,27622,Molossus molossus,,mMolMol1,latest,Scaffold,Major,Full,07/08/2020,mMolMol1.p,Bat1K,GCA_014108415.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/108/415/GCF_014108415.1_mMolMol1.p,,,na
GCF_015220235.1,PRJNA678727,SAMN12612024,JADCNF000000000.1,representative genome,27675,27675,Choloepus didactylus,,mChoDid1,latest,Chromosome,Major,Full,03/11/2020,mChoDid1.pri,Vertebrate Genomes Project,GCA_015220235.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/235/GCF_015220235.1_mChoDid1.pri,,,na
GCF_000299155.1,PRJNA221636,SAMN00749966,AMGZ00000000.1,representative genome,28737,28737,Elephantulus edwardii,,Elephantulus edwardi_28Jun2011,latest,Scaffold,Major,Full,10/10/2012,EleEdw1.0,Broad Institute,GCA_000299155.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/155/GCF_000299155.1_EleEdw1.0,,,na
GCF_017311325.1,PRJNA717889,SAMN10734297,JADGMR000000000.1,representative genome,29073,29073,Ursus maritimus,,PB19,latest,Scaffold,Major,Full,09/03/2021,ASM1731132v1,"University of California, Santa Cruz",GCA_017311325.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/311/325/GCF_017311325.1_ASM1731132v1,,,na
GCF_000308155.1,PRJNA232522,SAMN00767986,ALEH00000000.1,representative genome,29078,29078,Eptesicus fuscus,,BU_THK_EF1,latest,Scaffold,Major,Full,08/11/2012,EptFus1.0,Broad Institute,GCA_000308155.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/308/155/GCF_000308155.1_EptFus1.0,,,na
GCF_002201575.1,PRJNA392091,SAMN06841387,NINY00000000.1,representative genome,29088,29088,Neomonachus schauinslandi,,,latest,Scaffold,Major,Full,20/06/2017,ASM220157v1,Johns Hopkins University,GCA_002201575.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/201/575/GCF_002201575.1_ASM220157v1,,,na
GCF_900497805.2,PRJNA492302,SAMEA4791334,UNPS00000000.2,representative genome,29139,29139,Vombatus ursinus,,,latest,Scaffold,Major,Full,10/12/2018,bare-nosed wombat genome assembly,"MRC Institute of Genetics and Molecular Medicine, University of Edinburgh",GCA_900497805.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/497/805/GCF_900497805.2_bare-nosed_wombat_genome_assembly,genome length too large,,na
GCF_003369695.1,PRJNA508959,SAMN08473802,PUFS00000000.2,representative genome,30522,30522,Bos indicus x Bos taurus,breed=Angus x Brahman F1 hybrid,,latest,Chromosome,Major,Full,30/11/2018,UOA_Brahman_1,University of Adelaide,GCA_003369695.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/369/695/GCF_003369695.1_UOA_Brahman_1,,,na
GCF_000164845.3,PRJNA221631,SAMN01096418,ABRR00000000.3,representative genome,30538,30538,Vicugna pacos,,Carlotta (AHFN-0088),latest,Scaffold,Major,Full,15/07/2019,VicPac3.1,Deakin University,GCA_000164845.4,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/845/GCF_000164845.3_VicPac3.1,,,na
GCF_000165445.2,PRJNA285159,SAMN06275470,ABDC00000000.3,representative genome,30608,30608,Microcebus murinus,,mixed,latest,Chromosome,Major,Full,06/02/2017,Mmur_3.0,Baylor College of Medicine,GCA_000165445.3,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/445/GCF_000165445.2_Mmur_3.0,,,na
GCF_000181295.1,PRJNA169348,SAMN02981229,AAQR00000000.3,representative genome,30611,30611,Otolemur garnettii,,467f Iridium,latest,Scaffold,Major,Full,16/03/2011,OtoGar3,"Broad Institute of MIT and Harvard, USA, Cambridge",GCA_000181295.3,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/295/GCF_000181295.1_OtoGar3,,,na
GCF_003709585.1,PRJNA504297,SAMN09699341,QURD00000000.1,representative genome,32536,32536,Acinonyx jubatus,,Rico,latest,Scaffold,Major,Full,22/10/2018,Aci_jub_2,Felidae consortium,GCA_003709585.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/709/585/GCF_003709585.1_Aci_jub_2,,,na
GCF_019393635.1,PRJNA764759,SAMN18857598,JAHYBR000000000.1,representative genome,33562,33562,Dromiciops gliroides,,mDroGli1,latest,Chromosome,Major,Full,03/08/2021,mDroGli1.pri,Vertebrate Genomes Project,GCA_019393635.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/393/635/GCF_019393635.1_mDroGli1.pri,,,na
GCF_000276665.1,PRJNA210822,SAMN00632093,AGCD00000000.1,representative genome,34839,34839,Chinchilla lanigera,,Chin_1,latest,Scaffold,Major,Full,28/08/2012,ChiLan1.0,Broad Institute,GCA_000276665.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/276/665/GCF_000276665.1_ChiLan1.0,,,na
GCF_003265705.1,PRJNA481736,SAMN09379881,QLOG00000000.1,representative genome,34884,34884,Callorhinus ursinus,,GAN/ISIS: 27379988/994484,latest,Scaffold,Major,Full,26/06/2018,ASM326570v1,Canada's Genomics Enterprise,GCA_003265705.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/265/705/GCF_003265705.1_ASM326570v1,,,na
GCF_004028035.1,PRJNA518921,SAMN09402722,SBAQ00000000.1,representative genome,34886,34886,Eumetopias jubatus,,GAN:26980396,latest,Scaffold,Major,Full,15/01/2019,ASM402803v1,Canada's Genomic Enterprise,GCA_004028035.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/028/035/GCF_004028035.1_ASM402803v1,,,na
GCF_008632895.1,PRJNA578167,SAMN07635206,VSBT00000000.1,representative genome,35658,35658,Mastomys coucha,,ucsf_1,latest,Chromosome,Major,Full,24/09/2019,UCSF_Mcou_1,"University of California, San Francisco",GCA_008632895.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/632/895/GCF_008632895.1_UCSF_Mcou_1,,,na
GCF_009829155.1,PRJNA602914,SAMN12611999,WNLY00000000.1,representative genome,36723,36723,Mustela erminea,,mMusErm1,latest,Chromosome,Major,Full,03/01/2020,mMusErm1.Pri,Vertebrate Genomes Project,GCA_009829155.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/829/155/GCF_009829155.1_mMusErm1.Pri,,,na
GCF_016509475.1,PRJNA756971,SAMN16486448,JADZGN000000000.1,representative genome,37029,37029,Prionailurus bengalensis,,Pbe53,latest,Chromosome,Major,Full,06/01/2021,Fcat_Pben_1.1_paternal_pri,Texas A&M University,GCA_016509475.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/509/475/GCF_016509475.1_Fcat_Pben_1.1_paternal_pri,,,na
GCF_006229205.1,PRJNA553468,SAMN11840572,VCRZ00000000.1,representative genome,37032,37032,Suricata suricatta,,VVHF042,latest,Chromosome,Major,Full,03/07/2019,meerkat_22Aug2017_6uvM2_HiC,DNA Zoo,GCA_006229205.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/229/205/GCF_006229205.1_meerkat_22Aug2017_6uvM2_HiC,,,na
GCF_000952055.2,PRJNA282745,SAMN03121886,JYKP00000000.2,representative genome,37293,37293,Aotus nancymaae,,86115,latest,Scaffold,Major,Full,09/06/2017,Anan_2.0,Baylor College of Medicine,GCA_000952055.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/952/055/GCF_000952055.2_Anan_2.0,,,na
GCF_002099425.1,PRJNA384067,SAMN06198159,MSTS00000000.1,representative genome,38626,38626,Phascolarctos cinereus,,Bilbo 61053,latest,Contig,Major,Full,18/04/2017,phaCin_unsw_v4.1,The Earlham Institute,GCA_002099425.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/099/425/GCF_002099425.1_phaCin_unsw_v4.1,genome length too large,,na
GCF_903995425.1,PRJNA664182,SAMEA104026389,CAJFAA000000000.1,representative genome,38674,38674,Onychomys torridus,,,latest,Chromosome,Major,Full,21/08/2020,mOncTor1.1,SC,GCA_903995425.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/903/995/425/GCF_903995425.1_mOncTor1.1,,,na
GCF_016699345.1,PRJNA699579,SAMN16846876,JAEKCL000000000.1,representative genome,39432,27679,Saimiri boliviensis boliviensis,breed=Bolivian squirrel monkey,100643,latest,Scaffold,Major,Full,12/01/2021,BCM_Sbol_2.0,Baylor College of Medicine Human Genome Sequencing Center,GCA_016699345.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/699/345/GCF_016699345.1_BCM_Sbol_2.0,,,na
GCF_005190385.1,PRJNA542700,SAMN10872456,SIHG00000000.1,representative genome,40151,40151,Monodon monoceros,ecotype=Baffin Bay Population,NGI,latest,Scaffold,Major,Full,06/05/2019,NGI_Narwhal_1,The Narwhal Genome Initiative,GCA_005190385.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/190/385/GCF_005190385.1_NGI_Narwhal_1,,,na
GCF_008692025.1,PRJNA606521,SAMN12325353,VOSU00000000.1,representative genome,42100,42100,Phocoena sinus,,mPhoSin1,latest,Chromosome,Major,Full,26/09/2019,mPhoSin1.pri,Vertebrate Genomes Project,GCA_008692025.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/692/025/GCF_008692025.1_mPhoSin1.pri,,,na
GCF_000181275.1,PRJNA193513,SAMN00210854,AALT00000000.2,representative genome,42254,42254,Sorex araneus,,GB8-d,latest,Scaffold,Major,Full,27/08/2012,SorAra2.0,Broad Institute,GCA_000181275.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/181/275/GCF_000181275.1_SorAra2.0,,,na
GCF_016881025.1,PRJNA714113,SAMN08111062,JAESOR000000000.1,representative genome,43179,43179,Ictidomys tridecemlineatus,,GS200,latest,Chromosome,Major,Full,17/02/2021,HiC_Itri_2,Stanford University School of Medicine,GCA_016881025.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/881/025/GCF_016881025.1_HiC_Itri_2,,,na
GCF_000754665.1,PRJNA266339,SAMN02947321,JPYT00000000.1,representative genome,43346,9901,Bison bison bison,,TAMUID 2011002044,latest,Scaffold,Major,Full,08/10/2014,Bison_UMD1.0,University of Maryland,GCA_000754665.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/665/GCF_000754665.1_Bison_UMD1.0,,,na
GCF_014898055.1,PRJNA674757,SAMN10160270,RCFO00000000.1,representative genome,50954,50954,Talpa occidentalis,,TD23,latest,Scaffold,Major,Full,19/10/2020,MPIMG_talOcc4,Max Planck Institute for Molecular Genetics,GCA_014898055.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/898/055/GCF_014898055.1_MPIMG_talOcc4,,,na
GCF_014108235.1,PRJNA665501,SAMN14734277,JABWUV000000000.1,representative genome,51298,51298,Myotis myotis,,mMyoMyo1,latest,Scaffold,Major,Full,07/08/2020,mMyoMyo1.p,Bat1K,GCA_014108235.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/108/235/GCF_014108235.1_mMyoMyo1.p,,,na
GCF_000280705.1,PRJNA193488,SAMN00728442,AKZC00000000.1,representative genome,51337,51337,Jaculus jaculus,,JJ0015,latest,Scaffold,Major,Full,30/07/2012,JacJac1.0,Broad Institute,GCA_000280705.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/280/705/GCF_000280705.1_JacJac1.0,,,na
GCF_001984765.1,PRJNA371604,SAMN06187566,MTKA00000000.1,representative genome,51338,51338,Castor canadensis,,Ward,latest,Scaffold,Major,Full,04/02/2017,C.can genome v1.0,Hospital for Sick Children,GCA_001984765.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/984/765/GCF_001984765.1_C.can_genome_v1.0,,,na
GCF_009764315.1,PRJNA614514,SAMN12630612,VVIV00000000.1,representative genome,54180,54180,Trachypithecus francoisi,,TF-2019V2,latest,Scaffold,Major,Full,18/12/2019,Tfra_2.0,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",GCA_009764315.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/764/315/GCF_009764315.1_Tfra_2.0,,,na
GCF_000147115.1,PRJNA208947,SAMN02953645,AAPE00000000.2,representative genome,59463,59463,Myotis lucifugus,,,latest,Scaffold,Major,Full,14/09/2010,Myoluc2.0,Broad Institute,GCA_000147115.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/115/GCF_000147115.1_Myoluc2.0,,,na
GCF_014108245.1,PRJNA666119,SAMN14734388,JACAGB000000000.1,representative genome,59472,59472,Pipistrellus kuhlii,,mPipKuh1,latest,Scaffold,Major,Full,07/08/2020,mPipKuh1.p,Bat1K,GCA_014108245.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/108/245/GCF_014108245.1_mPipKuh1.p,,,na
GCF_004115265.1,PRJNA613604,SAMN09948510,RXPC00000000.1,representative genome,59479,59479,Rhinolophus ferrumequinum,,MPI-CBG mRhiFer1,latest,Chromosome,Major,Full,16/05/2019,mRhiFer1_v1.p,Vertebrate Genomes Project,GCA_004115265.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/115/265/GCF_004115265.1_mRhiFer1_v1.p,,,na
GCF_014754425.2,PRJNA694191,SAMN14518290,JABAEV000000000.1,representative genome,59534,59534,Oryx dammah,,SB20612,latest,Scaffold,Minor,Full,25/09/2020,SCBI_Odam_1.1,Smithsonian Conservation Biology Institute,GCA_014754425.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/754/425/GCF_014754425.2_SCBI_Odam_1.1,,,na
GCF_015252025.1,PRJNA680339,SAMN15458746,JACDXN000000000.1,representative genome,60711,60711,Chlorocebus sabaeus,strain=WHO RCB 10-87,,latest,Scaffold,Major,Full,06/11/2020,Vero_WHO_p1.0,"Viral Vectors and Vaccines Bioprocessing Group, McGill University",GCA_015252025.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/252/025/GCF_015252025.1_Vero_WHO_p1.0,,,na
GCF_011762505.1,PRJNA632612,SAMN12611849,JAAOMG000000000.1,representative genome,61156,61156,Arvicanthis niloticus,,mArvNil1,latest,Chromosome,Major,Full,27/03/2020,mArvNil1.pat.X,Vertebrate Genomes Project,GCA_011762505.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/762/505/GCF_011762505.1_mArvNil1.pat.X,,,na
GCF_007474595.2,PRJNA558991,SAMN09948483,VHLE00000000.2,representative genome,61383,61383,Lynx canadensis,,LIC74,latest,Chromosome,Major,Full,14/07/2020,mLynCan4.pri.v2,Vertebrate Genomes Project,GCA_007474595.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/474/595/GCF_007474595.2_mLynCan4.pri.v2,,,na
GCF_001698545.1,PRJNA339282,SAMN02786331,MCGX00000000.1,representative genome,61621,61621,Rhinopithecus bieti,,Rb0,latest,Scaffold,Major,Full,03/08/2016,ASM169854v1,Laboratory for conservation and utilization of Bio-resource,GCA_001698545.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/698/545/GCF_001698545.1_ASM169854v1,,,na
GCF_007565055.1,PRJNA565017,SAMN11039125,VMRL00000000.1,representative genome,61622,61622,Rhinopithecus roxellana,,Shanxi Qingling,latest,Chromosome,Major,Full,29/07/2019,ASM756505v1,Northwest University,GCA_007565055.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/565/055/GCF_007565055.1_ASM756505v1,,,na
GCF_006542625.1,PRJNA564096,SAMN11124083,VIFL00000000.1,representative genome,61853,61853,Nomascus leucogenys,,Asia,latest,Chromosome,Major,Full,02/07/2019,Asia_NLE_v1,University of Washington,GCA_006542625.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/542/625/GCF_006542625.1_Asia_NLE_v1,,,na
GCF_000298355.1,PRJNA221623,SAMN00744358,AGSK00000000.1,representative genome,72004,72004,Bos mutus,,yakQH1,latest,Scaffold,Major,Full,09/01/2013,BosGru_v2.0,BGI-shenzhen,GCA_000298355.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/298/355/GCF_000298355.1_BosGru_v2.0,,,na
GCF_000283155.1,PRJNA191537,SAMN00778988,AKZM00000000.1,representative genome,73337,9807,Ceratotherium simum simum,,SDZICR_KB13650,latest,Scaffold,Major,Full,31/07/2012,CerSimSim1.0,Broad Institute,GCA_000283155.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/155/GCF_000283155.1_CerSimSim1.0,,,na
GCF_010015895.1,PRJNA611578,SAMN13049247,WMAJ00000000.1,representative genome,76717,76717,Lontra canadensis,,GAN:19392208,latest,Scaffold,Major,Full,27/01/2020,GSC_riverotter_1.0,Canada's Genomic Enterprise,GCA_010015895.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/015/895/GCF_010015895.1_GSC_riverotter_1.0,,,na
GCF_000317375.1,PRJNA210839,SAMN00727831,AHZW00000000.1,representative genome,79684,79684,Microtus ochrogaster,,Prairie Vole_2,latest,Chromosome,Major,Full,07/12/2012,MicOch1.0,Broad Institute,GCA_000317375.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/375/GCF_000317375.1_MicOch1.0,,,na
GCF_009828535.2,PRJNA600985,SAMN12851060,WKKJ00000000.2,representative genome,81572,81572,Hylobates moloch,,HMO894,latest,Scaffold,Major,Full,13/02/2020,HMol_V2,"University of California, Santa Cruz",GCA_009828535.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/828/535/GCF_009828535.2_HMol_V2,,,na
GCF_003121395.1,PRJNA471901,SAMN08640746,PZYV00000000.1,representative genome,89462,89462,Bubalus bubalis,breed=Mediterranean,,latest,Chromosome,Major,Full,14/05/2018,UOA_WB_1,University of Adelaide,GCA_003121395.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/121/395/GCF_003121395.1_ASM312139v1,,,na
GCF_004126475.2,PRJNA524358,SAMN09948786,RXPA00000000.2,representative genome,89673,89673,Phyllostomus discolor,,MPI-MPIP mPhyDis1,latest,Chromosome,Major,Full,12/05/2020,mPhyDis1.pri.v3,Vertebrate Genomes Project,GCA_004126475.3,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/126/475/GCF_004126475.2_mPhyDis1.pri.v3,,,na
GCF_003676395.1,PRJNA504867,SAMN09386610,RCWK00000000.1,representative genome,90247,90247,Lagenorhynchus obliquidens,,GAN/ISIS:26980383/991018,latest,Scaffold,Major,Full,23/10/2018,ASM367639v1,Canada's Genomic Enterprise,GCA_003676395.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/676/395/GCF_003676395.1_ASM367639v1,,,na
GCF_003676075.2,PRJNA516936,SAMN10078668,QZWP00000000.2,representative genome,93162,93162,Marmota flaviventris,,SJ_83,latest,Scaffold,Major,Full,24/05/2019,GSC_YBM_2.0,Canada's Genomic Enterprise,GCA_003676075.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/676/075/GCF_003676075.2_GSC_YBM_2.0,,,na
GCF_003009895.1,PRJNA694192,SAMN07212965,PEQU00000000.1,representative genome,95912,95912,Hyaena hyaena,,Hyena2069,latest,Scaffold,Major,Full,19/03/2018,ASM300989v1,Potsdam University,GCA_003009895.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/009/895/GCF_003009895.1_ASM300989v1,,,na
GCF_019054845.1,PRJNA748106,SAMN19232064,JAHHPX000000000.1,representative genome,105255,105255,Dipodomys spectabilis,,Male_0828,latest,Contig,Major,Full,29/06/2021,ASM1905484v1,Auburn University,GCA_019054845.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/054/845/GCF_019054845.1_ASM1905484v1,,,na
GCF_000412655.1,PRJNA218631,SAMN01801565,ANKR00000000.1,representative genome,109478,109478,Myotis brandtii,,,latest,Scaffold,Major,Full,28/06/2013,ASM41265v1,BGI,GCA_000412655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/412/655/GCF_000412655.1_ASM41265v1,,,na
GCF_018167655.1,PRJNA729470,SAMN18478481,JAGKIF000000000.1,representative genome,111838,111838,Microtus oregoni,,MIOR12,latest,Contig,Major,Full,26/04/2021,Mior012,Oklahoma State Universtiy,GCA_018167655.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/167/655/GCF_018167655.1_Mior012,,,na
GCF_003584765.2,PRJNA493656,SAMN09907428,QXTK00000000.1,representative genome,116960,9644,Ursus arctos horribilis,,GAN/ISIS:MIG12-29695490/34125,latest,Scaffold,Minor,Full,20/09/2018,ASM358476v2,Canada's Genomic Enterprise,GCA_003584765.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/584/765/GCF_003584765.2_ASM358476v2,,,na
GCF_000442215.1,PRJNA232751,SAMN02953859,AUPI00000000.1,representative genome,118797,118797,Lipotes vexillifer,,,latest,Scaffold,Major,Full,31/07/2013,Lipotes_vexillifer_v1,BGI,GCA_000442215.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/442/215/GCF_000442215.1_Lipotes_vexillifer_v1,,,na
GCF_000243295.1,PRJNA189960,SAMN00632092,AHIN00000000.1,representative genome,127582,9778,Trichechus manatus latirostris,,Lorelei,latest,Scaffold,Major,Full,23/01/2012,TriManLat1.0,Broad Institute,GCA_000243295.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/295/GCF_000243295.1_TriManLat1.0,,,na
GCF_017591425.1,PRJNA722036,SAMN13876228,JAADBW000000000.1,representative genome,130825,130825,Ochotona curzoniae,,NIBS_2020,latest,Scaffold,Major,Full,26/03/2021,NIBS_Ocur_1.0,"National Institute of Biological Sciences, Beijing",GCA_017591425.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/591/425/GCF_017591425.1_NIBS_Ocur_1.0,,,na
GCF_000151845.1,PRJNA275879,SAMN02894360,ABRP00000000.2,representative genome,132908,132908,Pteropus vampyrus,,Shadow,latest,Scaffold,Major,Full,05/12/2014,Pvam_2.0,Baylor College of Medicine,GCA_000151845.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/151/845/GCF_000151845.1_Pvam_2.0,,,na
GCF_902729225.1,PRJNA703023,SAMEA5634742,CACVBW000000000.1,representative genome,143291,143291,Pteropus giganteus,,,latest,Scaffold,Major,Full,15/04/2020,Ma_sr-lr_union100,CIRI-Inserm-U1111,GCA_902729225.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/729/225/GCF_902729225.1_Ma_sr-lr_union100,,,na
GCF_014570555.1,PRJNA666705,SAMN11464812,VBRX00000000.1,representative genome,143292,143292,Manis pentadactyla,,MP20,latest,Scaffold,Major,Full,15/09/2020,YNU_ManPten_2.0,Yunnan University,GCA_014570555.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/570/555/GCF_014570555.1_YNU_ManPten_2.0,,,na
GCF_000260355.1,PRJNA193510,SAMN00727830,AJFV00000000.1,representative genome,143302,143302,Condylura cristata,,star-nosed mole 26May11,latest,Scaffold,Major,Full,01/05/2012,ConCri1.0,Broad Institute,GCA_000260355.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/260/355/GCF_000260355.1_ConCri1.0,,,na
GCF_000296735.1,PRJNA232768,SAMN00744889,AMDV00000000.1,representative genome,185453,185453,Chrysochloris asiatica,,,latest,Scaffold,Major,Full,19/09/2012,ChrAsi1.0,Broad Institute,GCA_000296735.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/296/735/GCF_000296735.1_ChrAsi1.0,,,na
GCF_001890085.1,PRJNA357596,SAMN03177460,JXIK00000000.1,representative genome,186990,186990,Hipposideros armiger,,ML-2016,latest,Scaffold,Major,Full,06/12/2016,ASM189008v1,SKLEC & IECR,GCA_001890085.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/085/GCF_001890085.1_ASM189008v1,,,na
GCF_016433145.1,PRJNA769689,SAMN16807781,JADWME000000000.1,representative genome,191870,191870,Gracilinanus agilis,,LMUSP501,latest,Chromosome,Major,Full,06/01/2021,AgileGrace,Nanjing Normal University,GCA_016433145.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/433/145/GCF_016433145.1_AgileGrace,,,na
GCF_014824575.2,PRJNA673222,SAMN12282880,VSFL00000000.1,representative genome,192404,192404,Sturnira hondurensis,ecotype=Veracruz,20B,latest,Scaffold,Minor,Full,30/09/2020,WHU_Shon_v2.1,College of Life Sciences at Wuhan University,GCA_014824575.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/824/575/GCF_014824575.2_WHU_Shon_v2.1,,,na
